Pressure_bar,ET_us,Start_Delay_ms,End_Delay_ms,Injection_Mass_mg,File_Path
100,250,0.000392,0.02405,1.33076373914291,.\100bar\250us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
100,300,0.000381,0.024034,1.65879590196712,.\100bar\300us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
100,350,0.000382,0.024056,1.73542617695682,.\100bar\350us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
100,400,0.000387,0.023966,3.0062585989668,.\100bar\400us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
100,450,0.0003869999999999,0.023943,3.1387850634571,.\100bar\450us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
100,500,0.000385,0.023963,4.04240529550296,.\100bar\500us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
100,550,0.000384,0.023984,4.36394190090393,.\100bar\550us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
100,600,0.000386,0.024025,4.85700655824137,.\100bar\600us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
100,650,0.000385,0.023995,5.28845534201864,.\100bar\650us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
100,700,0.000386,0.023985,5.6192478077734,.\100bar\700us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
100,800,0.000387,0.023957,6.5985598958466,.\100bar\800us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
100,900,0.000384,0.024407,7.52756521151806,.\100bar\900us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
100,1000,0.000386,0.02442,8.54114126414855,.\100bar\1000us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
100,1500,0.000386,0.024033,12.9455443201089,.\100bar\1500us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
100,2000,0.000385,0.023924,17.4363238838264,.\100bar\2000us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
100,3000,0.000385,0.02402,26.6795463331637,.\100bar\3000us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
100,4000,0.000386,0.02374,36.5733582495835,.\100bar\4000us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
100,5000,0.000385,0.023949,47.3832453866771,.\100bar\5000us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
200,250,0.000388,0.0240450000000001,1.37431238016219,.\200bar\250us\Data_002_BCswap_Czero_fftSmooth_shifted.lvm
200,300,0.00038,0.023925,2.4306567450021,.\200bar\300us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
200,350,0.000384,0.023932,2.70749987782336,.\200bar\350us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
200,400,0.00038,0.023934,3.91117952761113,.\200bar\400us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
200,450,0.000387,0.023948,4.24828113737375,.\200bar\450us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
200,500,0.000381,0.023924,5.16938166187968,.\200bar\500us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
200,550,0.000383,0.023905,5.84042244709028,.\200bar\550us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
200,600,0.0003819999999999,0.0239,6.38931421460702,.\200bar\600us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
200,650,0.000385,0.023857,7.11021909941161,.\200bar\650us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
200,700,0.000383,0.02391,7.68671014378485,.\200bar\700us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
200,800,0.000382,0.023907,9.02709033453285,.\200bar\800us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
200,900,0.000385,0.023978,10.166643512395,.\200bar\900us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
200,1000,0.0003839999999999,0.023975,11.6418149273598,.\200bar\1000us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
200,1500,0.0003819999999999,0.023962,18.3612044671811,.\200bar\1500us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
200,2000,0.0003849999999999,0.023952,25.395373114691,.\200bar\2000us\Data_002_BCswap_Czero_fftSmooth_shifted.lvm
200,3000,0.000384,0.023853,38.9093831872082,.\200bar\3000us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
200,4000,0.000384,0.023927,54.3817534559661,.\200bar\4000us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
200,5000,0.000385,0.02374,68.8645372033388,.\200bar\5000us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
300,250,0.0003879999999999,0.023956,1.64859972772537,.\300bar\250us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
300,300,0.000396,0.023881,2.34260738986567,.\300bar\300us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
300,350,0.0003839999999999,0.023932,3.11805852555922,.\300bar\350us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
300,400,0.0003959999999999,0.023931,4.23436581213734,.\300bar\400us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
300,450,0.000388,0.023906,5.13246070718296,.\300bar\450us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
300,500,0.000398,0.023919,5.74399582526581,.\300bar\500us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
300,550,0.00039,0.023895,6.90589062107414,.\300bar\550us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
300,600,0.000387,0.023898,7.71842478303552,.\300bar\600us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
300,650,0.000387,0.023887,8.34737383233872,.\300bar\650us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
300,700,0.000393,0.023892,9.2537456440553,.\300bar\700us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
300,800,0.0003879999999999,0.023948,10.9403021669494,.\300bar\800us\Data_002_BCswap_Czero_fftSmooth_shifted.lvm
300,900,0.00039,0.023828,12.4932587225962,.\300bar\900us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
300,1000,0.000389,0.023852,14.1919273634976,.\300bar\1000us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
300,1500,0.000389,0.023843,22.7918821275729,.\300bar\1500us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
300,2000,0.000388,0.023873,31.7935448041061,.\300bar\2000us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
300,3000,0.000388,0.0238990000000001,50.0076505863665,.\300bar\3000us\Data_005_BCswap_Czero_fftSmooth_shifted.lvm
300,4000,0.0003879999999999,0.023838,68.9683836925174,.\300bar\4000us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
300,5000,0.000386,0.023536,86.9067397619271,.\300bar\5000us\Data_001_BCswap_Czero_fftSmooth_shifted.lvm
